BehaviorSpace results (NetLogo 7.0.3),Table version 2.0,,,,,,
Wolf_Sheep_Predation_simpler.nlogox,,,,,,,
experiment_100_100,,,,,,,
07/31/2026 16:03:50:229 -0300,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
-25,25,-25,25,,,,
[run number],sheep-reproduce,wolf-reproduce,grass-regrowth-time,[step],land_with_grass,count sheep,count wolves
330,8,10,250,562,19.108035371011148,0,0
339,8,12,200,467,23.529411764705884,0,0
340,8,12,225,461,22.914263744713573,0,0
342,8,12,225,225,66.74356017,0,0
328,8,10,250,1500,45.63629373317955,49,0
343,8,12,250,89,45.905420991926185,0,0
344,8,12,250,151,45.63629373317955,0,0
332,8,12,150,1500,29.950019223375623,39,0
335,8,12,175,1500,65.74394464,39,0
336,8,12,175,1500,41.94540561322568,24,0
345,8,12,250,542,31.987697039600153,0,0
338,8,12,200,1500,38.369857747020376,18,0
349,8,14,175,491,37.908496732026144,0,0
341,8,12,225,1416,33.37178008458285,0,0
351,8,14,175,386,39.33102652825836,0,0
350,8,14,175,531,16.49365628604383,0,0
354,8,14,200,82,46.71280276816609,0,0
352,8,14,200,201,74.74048442906575,0,0
353,8,14,200,185,65.47481737793156,0,0
356,8,14,225,98,41.599384851980005,0,0
355,8,14,225,165,53.90234525182622,0,0
348,8,14,150,862,51.787773933102656,0,0
358,8,14,250,104,44.63667820069204,0,0
346,8,14,150,1500,61.5916955,74,0
357,8,14,225,473,24.875048058439063,0,0
359,8,14,250,447,25.14417532,0,0
347,8,14,150,1500,41.56093810073049,44,0
360,8,14,250,855,14.648212226066898,0,0
367,8,16,200,420,11.80315263360246,0,0
368,8,16,200,191,58.169934640522875,0,0
361,8,16,150,1500,50.173010380622834,59,0
362,8,16,150,1500,60.284505959246445,38,0
369,8,16,200,136,57.74702037677816,0,0
370,8,16,225,128,50.51903114186851,0,0
363,8,16,150,1500,66.16685890042291,15,0
374,8,16,250,200,63.360246059207995,0,0
373,8,16,250,187,53.8638985,0,0
375,8,16,250,105,42.79123414071511,0,0
364,8,16,175,1500,34.06382161,50,0
365,8,16,175,1500,66.78200692041523,28,0
372,8,16,225,159,55.40176855055748,0,0
366,8,16,175,1500,55.40176855055748,19,0
371,8,16,225,915,25.06728181468666,0,0
379,8,18,175,519,74.54825067281814,0,0
381,8,18,175,797,27.220299884659745,0,0
383,8,18,200,438,26.028450595924646,0,0
385,8,18,225,300,75.54786620530565,0,0
377,8,18,150,1500,46.90503652441369,28,0
376,8,18,150,1500,36.79354094579008,22,0
378,8,18,150,1451,61.89926951172626,0,0
386,8,18,225,157,49.98077662437524,0,0
388,8,18,250,85,41.36870434448289,0,0
387,8,18,225,194,64.89811610918878,0,0
389,8,18,250,124,50.249903883121874,0,0
380,8,18,175,1500,31.757016532103037,26,0
382,8,18,200,1301,19.87697039600154,0,0
390,8,18,250,549,26.451364859669358,0,0
395,8,20,175,511,45.48250672818147,0,0
397,8,20,200,125,56.93963860053825,0,0
392,8,20,150,954,54.82506728181469,0,0
396,8,20,175,448,19.492502883506344,0,0
400,8,20,225,97,45.674740484429066,0,0
398,8,20,200,131,46.75124951941561,0,0
384,8,18,200,1500,33.29488658208381,66,0
401,8,20,225,125,46.02076124567474,0,0
404,8,20,250,188,57.054978854286816,0,0
402,8,20,225,431,19.68473663975394,0,0
391,8,20,150,1500,45.444059976931946,57,0
393,8,20,150,1500,45.63629373317955,24,0
394,8,20,175,1500,46.02076124567474,20,0
399,8,20,200,764,24.490580545943867,0,0
403,8,20,250,608,35.02499038831219,0,0
408,10,4,150,146,69.088812,0,0
412,10,4,200,91,39.638600538254515,0,0
411,10,4,175,144,59.28489042675894,0,0
405,8,20,250,633,18.531334102268357,0,0
414,10,4,200,157,54.940407535563246,0,0
413,10,4,200,182,53.44098423683199,0,0
415,10,4,225,78,37.40868896578239,0,0
416,10,4,225,106,39.792387543252595,0,0
418,10,4,250,146,51.48019992,0,0
420,10,4,250,159,50.98039215686274,0,0
419,10,4,250,294,70.74202229911573,0,0
417,10,4,225,444,18.915801614763552,0,0
423,10,6,150,103,49.36562860438293,0,0
424,10,6,175,158,51.21107266435986,0,0
425,10,6,175,102,42.75278738946559,0,0
406,10,4,150,1500,50.941945405613225,24,0
410,10,4,175,1500,28.027681660899653,43,0
407,10,4,150,1500,66.62821991541715,30,0
409,10,4,175,1500,87.69703960015379,11,0
430,10,6,225,104,47.789311803152636,0,0
429,10,6,200,183,59.900038446751246,0,0
431,10,6,225,106,46.32833525567089,0,0
427,10,6,200,410,22.568242983467897,0,0
433,10,6,250,181,51.51864667435602,0,0
434,10,6,250,134,51.172625913110345,0,0
435,10,6,250,228,58.63129565551711,0,0
432,10,6,225,654,56.59361783929258,0,0
422,10,6,150,1500,33.52556708958093,13,0
421,10,6,150,1500,24.067666282199156,12,0
428,10,6,200,1026,36.44752018454441,0,0
439,10,8,175,136,54.402153018069974,0,0
441,10,8,175,418,22.798923490965013,0,0
426,10,6,175,1500,64.55209535,10,0
442,10,8,200,797,25.52864282968089,0,0
444,10,8,200,423,19.454056132256824,0,0
446,10,8,225,59,44.25221068819685,0,0
445,10,8,225,97,49.32718185313341,0,0
447,10,8,225,88,47.59707804690504,0,0
436,10,8,150,1500,49.01960784313726,59,0
449,10,8,250,86,39.13879277201077,0,0
450,10,8,250,105,50.01922337562476,0,0
437,10,8,150,1500,65.01345636293733,70,0
438,10,8,150,1500,47.13571703,57,0
440,10,8,175,1500,61.20722798923491,22,0
448,10,8,250,599,44.32910419069589,0,0
456,10,10,175,115,56.40138408304498,0,0
443,10,8,200,1500,25.336409073433295,27,0
454,10,10,175,429,36.06305267204921,0,0
459,10,10,200,112,51.32641291810842,0,0
458,10,10,200,394,11.14955786236063,0,0
460,10,10,225,213,60.63052672049212,0,0
461,10,10,225,100,47.712418300653596,0,0
455,10,10,175,809,74.70203767781622,0,0
451,10,10,150,1181,63.744713571703194,0,0
465,10,10,250,148,42.945021145713184,0,0
462,10,10,225,463,19.76163014225298,0,0
457,10,10,200,1078,11.534025374855824,0,0
452,10,10,150,1500,42.13763936947328,63,0
453,10,10,150,1500,27.181853133410225,48,0
466,10,12,150,390,62.39907727797001,0,0
463,10,10,250,929,43.560169165705496,0,0
472,10,12,200,485,17.87773933102653,0,0
469,10,12,175,886,23.298731257208765,0,0
464,10,10,250,1500,11.726259131103422,1,0
474,10,12,200,142,52.94117647058823,0,0
470,10,12,175,1009,54.90196078431372,0,0
468,10,12,150,942,43.06036139946175,0,0
475,10,12,225,98,39.13879277201077,0,0
476,10,12,225,97,42.82968089196463,0,0
478,10,12,250,104,43.021914648212224,0,0
479,10,12,250,96,41.599384851980005,0,0
467,10,12,150,1500,72.77970011534025,52,0
480,10,12,250,187,60.053825451749326,0,0
477,10,12,225,476,29.1041907,0,0
471,10,12,175,1500,34.33294886582084,20,0
484,10,14,175,361,30.603613994617454,0,0
