"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/13/2026 17:44:39:473 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"271","8","4","150","1500","48.827374086889655","33","0"
"272","8","4","150","1500","47.481737793156476","30","0"
"275","8","4","175","1500","56.978085351787776","29","0"
"274","8","4","175","1500","51.05728565936178","32","0"
"273","8","4","150","1500","47.020376778162245","35","0"
"280","8","4","225","150","55.97846981930027","0","0"
"276","8","4","175","1500","51.59554017685505","29","0"
"278","8","4","200","837","76.08612072279892","0","0"
"281","8","4","225","1500","61.553248750480584","34","0"
"279","8","4","200","1500","51.32641291810842","12","0"
"282","8","4","225","1500","71.47251057285659","10","0"
"283","8","4","250","1500","33.44867358708189","10","0"
"284","8","4","250","1500","51.74932718185313","28","0"
"285","8","4","250","1500","44.482891195693966","22","0"
"292","8","6","200","210","75.16339869281046","0","0"
"286","8","6","150","1500","65.39792387543253","24","0"
"293","8","6","200","653","42.90657439446367","0","0"
"289","8","6","175","1500","31.60322952710496","56","0"
"288","8","6","150","1500","62.12995001922337","5","0"
"291","8","6","175","1500","38.75432525951557","28","0"
"296","8","6","225","113","42.21453287197232","0","0"
"297","8","6","225","96","43.32948865820838","0","0"
"287","8","6","150","1500","43.67550941945406","40","0"
"290","8","6","175","1500","77.12418300653594","17","0"
"298","8","6","250","152","45.828527489427145","0","0"
"294","8","6","200","1500","43.82929642445213","54","0"
"303","8","8","150","430","54.90196078431372","0","0"
"305","8","8","175","119","56.209150326797385","0","0"
"299","8","6","250","792","70.8958093041138","0","0"
"295","8","6","225","1500","60.01537870049981","37","0"
"306","8","8","175","127","52.01845444059977","0","0"
"307","8","8","200","111","49.51941560938101","0","0"
"310","8","8","225","95","40.52287581699346","0","0"
"300","8","6","250","1500","54.709727028066126","26","0"
"301","8","8","150","1500","87.9277201076509","4","0"
"302","8","8","150","1500","38.523644752018456","75","0"
"312","8","8","225","146","50.0961168781238","0","0"
"313","8","8","250","150","51.40330642060746","0","0"
"314","8","8","250","210","54.709727028066126","0","0"
"309","8","8","200","1044","30.25759323337178","0","0"
"304","8","8","175","1287","63.1680123029604","0","0"
"316","8","10","150","381","37.17800845828528","0","0"
"315","8","8","250","606","43.98308342945021","0","0"
"308","8","8","200","1500","41.86851211072664","44","0"
"320","8","10","175","395","17.07035755478662","0","0"
"311","8","8","225","1500","18.069973087274125","21","0"
"323","8","10","200","156","58.63129565551711","0","0"
"324","8","10","200","121","47.82775855440215","0","0"
"322","8","10","200","447","26.566705113417918","0","0"
"326","8","10","225","78","35.4479046520569","0","0"
